ID,Make,Model,Price,Year,Odometer,Fuel type,Engine type,Color,Body,Transmission,Drive
16158994,Volkswagen,Golf,250,1987,444009,бензин,1600,красный,хэтчбек 5 дв.,Механика,Передний
16158936,Renault,19,250,1991,400000,бензин,1400,красный,хэтчбек 5 дв.,Механика,Передний
16155987,Lada (ВАЗ),2106,250,1985,100000,бензин,1300,коричневый,седан,Механика,
16153965,Mazda,626,250,1990,200000,бензин,2000,серый,седан,Механика,Передний
16153542,Ford,Scorpio,250,1990,188,бензин,2000,другой,хэтчбек 5 дв.,Механика,Задний
16153479,Ford,Scorpio,250,1986,400000,бензин,2000,серебристый,хэтчбек 5 дв.,Механика,Задний
16152062,Lada (ВАЗ),2108,250,1990,320000,бензин,1500,черный,хэтчбек 3 дв.,Механика,Передний
16151995,BMW,3 серия,250,1984,222,бензин,1800,бордовый,седан,Механика,Задний
16151797,Mazda,121,250,1994,1111,бензин,1400,красный,седан,Механика,Передний
16147991,Alfa Romeo,146,250,1995,1,бензин,1700,красный,хэтчбек 5 дв.,Механика,Передний
16146181,ГАЗ,3110,250,1998,0,бензин,2400,черный,седан,Механика,Задний
16145628,Proton,Persona,250,1995,330000,бензин,1600,синий,хэтчбек 5 дв.,Механика,Передний
16141047,Daewoo,Nexia,250,1996,300000,бензин (пропан-бутан),1500,красный,хэтчбек 5 дв.,Механика,Передний
16132343,Mitsubishi,Galant,250,1995,333333,бензин,2000,красный,хэтчбек 5 дв.,Механика,Передний
16129692,Mazda,323,250,1991,280000,бензин,1500,красный,седан,Механика,Передний
16129513,Opel,Kadett,250,1988,200000,бензин,1300,красный,хэтчбек 5 дв.,Механика,Передний
16129075,Mazda,323F,250,1990,330000,бензин,1600,красный,хэтчбек 5 дв.,Механика,Передний
16126600,Lada (ВАЗ),2106,250,1991,300000,бензин,1300,другой,седан,Механика,Передний
16125961,Opel,Kadett,250,1987,420000,дизель,1700,бордовый,хэтчбек 3 дв.,Механика,Передний
16122856,Fiat,Tempra,250,1994,350000,бензин,1400,бордовый,седан,Механика,Передний
16121668,Peugeot,505,250,1986,333333,дизель,2500,красный,седан,Механика,Задний
16111480,ЗАЗ,968,250,1976,10465,бензин,1000,красный,другой,Механика,
16110760,Ford,Fiesta,250,1991,198653,бензин,1300,синий,хэтчбек 5 дв.,Механика,Передний
16104790,Opel,Ascona,250,1986,11111,бензин,1600,серый,седан,Механика,Передний
16104717,Citroen,Xantia,250,1997,300000,бензин,1600,серый,хэтчбек 5 дв.,Механика,Передний
16103156,Peugeot,309,250,1987,230000,бензин,1600,серый,хэтчбек 5 дв.,Механика,
16098832,Hyundai,Lantra,250,1993,370000,бензин,1500,синий,седан,Механика,Передний
